TWA\TWS;0;5;10;15;20;25;30;35;40;45;50;55;60
0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0.1725;0.706;1.605;1.836;1.859;1.843;1.69;1.12;0.46;0.1228;0.0302;0.003345
10;0;0.6295;1.739;3.125;3.485;3.49;3.435;2.994;2.101;1.146;0.4277;0.0869;0.005465
15;0;1.739;3.384;4.804;5.235;5.273;4.967;4.216;3.211;2.175;1.221;0.4826;0.03388
20;0;2.708;4.852;6.459;6.982;6.872;6.262;5.28;4.201;3.101;1.979;0.9127;0.06858
25;0;3.352;5.967;8.011;8.666;8.222;7.318;6.185;5.004;3.791;2.532;1.255;0.09968
30;0;3.869;6.935;9.444;10.25;9.428;8.247;6.978;5.665;4.312;2.924;1.504;0.1236
35;0;4.417;7.92;10.73;11.7;10.56;9.133;7.694;6.224;4.724;3.205;1.66;0.1381
40;0;4.96;8.855;11.74;12.92;11.56;9.935;8.32;6.693;5.057;3.412;1.755;0.1461
45;0;5.403;9.609;12.32;13.83;12.32;10.58;8.828;7.079;5.331;3.58;1.829;0.1523
50;0;5.699;10.1;12.46;14.38;12.78;11.01;9.195;7.376;5.553;3.727;1.904;0.1591
55;0;5.896;10.33;12.43;14.64;13.04;11.25;9.412;7.559;5.696;3.829;1.965;0.1653
60;0;6.053;10.33;12.5;14.66;13.19;11.34;9.472;7.605;5.734;3.864;1.994;0.1693
65;0;6.198;10.23;12.8;14.63;13.38;11.42;9.518;7.635;5.763;3.896;2.021;0.1732
70;0;6.329;10.22;13.25;14.8;13.77;11.77;9.831;7.91;5.998;4.076;2.125;0.183
75;0;6.446;10.5;13.78;15.37;14.51;12.62;10.65;8.65;6.614;4.524;2.368;0.2033
80;0;6.556;11.02;14.34;16.22;15.5;13.84;11.81;9.679;7.449;5.117;2.681;0.2288
85;0;6.674;11.64;14.88;17.03;16.58;15.13;12.96;10.64;8.187;5.617;2.934;0.2491
90;0;6.795;12.23;15.36;17.58;17.57;16.25;13.85;11.28;8.613;5.866;3.044;0.2578
95;0;6.843;12.67;15.81;17.97;18.44;17.2;14.54;11.72;8.858;5.978;3.08;0.2606
100;0;6.732;12.88;16.24;18.34;19.15;18.03;15.17;12.14;9.123;6.122;3.141;0.2656
105;0;6.465;12.85;16.64;18.76;19.63;18.66;15.68;12.56;9.434;6.33;3.249;0.275
110;0;6.188;12.7;16.94;19.16;19.75;18.77;15.79;12.68;9.549;6.424;3.307;0.2809
115;0;6.047;12.58;17.05;19.44;19.38;18.09;15.21;12.23;9.23;6.224;3.217;0.2756
120;0;6.052;12.51;16.97;19.54;18.64;16.83;14.11;11.34;8.568;5.789;3.005;0.2608
125;0;6.109;12.44;16.77;19.44;17.81;15.55;13;10.45;7.903;5.349;2.79;0.2457
130;0;6.131;12.33;16.5;19.1;17.15;14.75;12.34;9.933;7.519;5.099;2.67;0.2377
135;0;6.062;12.11;16.2;18.63;16.7;14.37;12.05;9.724;7.377;5.013;2.633;0.236
140;0;5.859;11.7;15.92;18.14;16.4;14.17;11.92;9.631;7.324;4.989;2.628;0.2367
145;0;5.506;11.06;15.67;17.69;16.16;13.97;11.75;9.508;7.245;4.945;2.613;0.2364
150;0;5.057;10.29;15.33;17.18;15.85;13.69;11.52;9.328;7.113;4.859;2.572;0.233
155;0;4.574;9.494;14.79;16.44;15.31;13.29;11.2;9.079;6.917;4.716;2.489;0.2244
160;0;4.12;8.667;13.77;15.19;14.27;12.54;10.65;8.663;6.602;4.493;2.36;0.2103
165;0;3.758;7.683;11.85;12.94;12.3;11.05;9.556;7.882;6.071;4.16;2.186;0.1919
170;0;3.49;6.38;8.665;9.324;9.071;8.469;7.621;6.526;5.197;3.66;1.951;0.1689
175;0;2.753;4.326;4.724;4.962;5.02;4.976;4.761;4.32;3.62;2.655;1.45;0.1243
180;0;0.6716;0.9362;1.015;1.028;1.03;1.026;1.008;0.9571;0.847;0.6552;0.3731;0.03232
