twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;4.66;5.61;6.4;6.95;7.21;7.34;7.44
60;5.01;5.98;6.78;7.21;7.44;7.58;7.7
75;5.32;6.35;7.06;7.42;7.66;7.85;8.14
90;5.3;6.32;7.04;7.4;7.65;7.87;8.31
110;4.75;5.81;6.7;7.22;7.53;7.8;8.37
120;4.45;5.47;6.35;7.02;7.4;7.68;8.23
135;3.84;4.89;5.74;6.53;7.1;7.44;7.97
150;3.28;4.29;5.15;5.9;6.62;7.12;7.71
