!Expedition polar
2	0	0	50	3.57	56	4.06	63	4.53	70	4.85	75	4.99	80	5.05	90	5.09	99	5.07	112	4.78	120	4.33	135	3.34	180	1.10
4	0	0	49	4.59	54	5.09	61	5.61	70	5.98	75	6.10	80	6.15	90	6.21	105	6.24	120	5.75	128	5.04	137	4.33	180	2.23
6	0	0	46	5.64	52	6.18	60	6.74	70	7.11	75	7.21	80	7.25	90	7.29	110	7.38	120	7.06	135	6.04	140	5.64	180	3.36
8	0	0	44	6.70	52	7.42	60	7.92	70	8.24	75	8.32	80	8.35	90	8.49	110	8.57	120	8.34	135	7.55	143	6.93	180	4.50
10	0	0	42	7.25	52	8.11	60	8.50	70	8.82	75	8.92	80	8.97	90	8.99	110	9.22	120	9.09	135	8.53	146	7.78	180	5.56
12	0	0	40	7.59	52	8.50	60	8.84	70	9.14	75	9.26	80	9.36	90	9.41	110	9.65	120	9.65	135	9.21	150	8.22	180	6.59
14	0	0	39	7.80	52	8.74	60	9.06	70	9.37	75	9.49	80	9.61	90	9.77	110	9.96	120	10.12	135	9.77	158	8.41	180	7.50
16	0	0	38	7.94	52	8.90	60	9.22	70	9.53	80	9.80	90	10.02	110	10.22	120	10.51	135	10.32	150	9.45	165	8.70	180	8.26
20	0	0	37	8.09	52	9.08	60	9.40	70	9.74	80	10.06	90	10.36	110	10.70	120	11.12	135	11.38	150	10.50	170	9.59	180	9.38
25	0	0	36	8.24	52	9.25	60	9.58	70	9.96	80	10.33	90	10.70	110	11.26	120	11.72	135	12.06	150	11.46	172	10.48	180	10.21
30	0	0	36	8.39	52	9.43	60	9.76	70	10.17	80	10.60	90	11.03	110	11.75	120	12.24	135	12.66	150	12.18	172	11.37	180	10.87
