TWS	4	6	8	10	12	14	16	20	25
Kryssv	44.4	41.7	38.6	35.5	33.6	32.5	32.1	31.8	32.1
Kryssvmg	2.79	3.93	4.73	5.13	5.36	5.51	5.61	5.75	5.82
70	4.9	6.36	7.04	7.51	7.81	8.01	8.19	8.48	8.76
110	4.78	6.41	7.18	7.76	8.22	8.52	8.84	9.98	11.42
180	2.15	3.26	4.33	5.31	6.17	6.78	7.26	8.19	9.76
Gippv	138.6	142.9	147.5	153.9	164.8	168.7	169	163.9	146.5
Lansvmg	2.04	3.16	4.20	5.14	6.13	6.76	7.23	8.06	9.05
