TWS	6	8	10	12	14	16	20	
Kryssvinkel	46	45	42	40	38	38	37	
Kryss-VMG	3.95	4.77	5.29	5.61	5.81	5.93	6.03	
52	6.22	7.38	7.83	8.1	8.3	8.42	8.53	
60	6.77	7.78	8.18	8.45	8.62	8.73	8.84	
75	7.25	8.1	8.6	8.85	9	9.11	9.27	
90	7.23	8.1	8.67	9	9.27	9.45	9.72	
110	6.89	7.97	8.64	9.07	9.45	9.73	10.16	
120	6.43	7.7	8.4	8.91	9.35	9.84	10.57	
135	5.44	6.89	7.83	8.45	8.93	9.35	10.42	
150	4.5	5.74	6.9	7.74	8.34	8.82	9.66	
Gybe_TWA	140	144	147	157	167	171	176	
Run_VMG	3.89	4.97	5.97	6.78	7.46	8.04	8.95	
