TWS	4	6	8	10	12	14	16	18	22	26	30
a1	44	42	38	36	36	36	36	36	38	38	38
v1	3.40	4.63	5.42	5.85	6.08	6.16	6.19	6.20	6.19	6.14	6.08
70	6.05	7.58	8.26	8.68	8.97	9.23	9.45	9.63	9.85	9.95	10
110	5.72	7.38	8.2	8.71	9.09	9.38	9.64	9.86	10.21	10.58	11
180	2.5	3.7	4.8	5.8	6.8	7.5	8.1	8.6	9.5	10.4	12
a4	142	144	142	150	158	170	174	174	174	168	168
v4	3.07	4.19	5.27	6.11	6.84	7.57	8.16	8.62	9.57	10.54	12.24
