TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
120;0.000;2.910;5.810;7.990;9.240;10.500;11.390;12.300;12.480;13.650;14.260;14.920;15.590;15.880;15.780;15.710;15.600;15.500;15.420;15.330;14.730;14.130;12.520;10.920;9.800;8.690;6.950;5.210;3.480;1.740;1.740
125;0.000;2.960;5.930;8.060;9.350;10.650;11.590;12.540;13.340;14.000;14.660;15.390;16.120;16.430;16.320;16.210;16.090;15.980;15.880;15.770;15.220;14.680;13.700;12.720;11.730;10.750;8.600;6.450;4.300;2.150;2.150
130;0.000;2.870;5.740;7.870;9.250;10.630;11.640;12.650;13.570;14.400;15.230;15.980;16.730;17.030;16.860;16.690;16.520;16.360;16.200;16.030;15.570;15.100;14.350;13.600;12.850;12.100;9.680;7.250;4.830;2.420;2.420
135;0.000;2.710;5.420;7.490;8.940;10.380;11.380;12.380;13.380;14.380;15.380;16.330;17.270;17.640;17.420;17.200;16.990;16.780;16.560;16.340;15.960;15.590;15.050;14.510;13.970;13.440;10.750;8.060;5.380;2.690;2.690
140;0.000;2.500;4.990;6.980;8.470;9.960;10.900;11.850;12.820;13.810;14.810;15.980;17.150;17.630;17.400;17.180;16.950;16.720;16.490;16.260;16.000;15.730;15.430;15.130;14.820;14.520;11.620;8.710;5.810;2.900;2.900
145;0.000;2.260;4.510;6.380;7.860;9.350;10.490;11.630;12.660;13.570;14.490;15.770;17.050;17.600;17.400;17.210;17.020;16.820;16.630;16.430;16.070;15.720;15.290;14.850;14.650;14.450;11.560;8.670;5.780;2.890;2.890
150;0.000;2.030;4.060;5.810;7.280;8.760;9.860;10.960;11.900;12.700;13.490;14.820;16.150;16.720;16.530;16.350;16.220;16.100;15.920;15.750;15.430;15.110;14.720;14.330;14.140;13.950;11.160;8.370;5.580;2.790;2.790
155;0.000;1.850;3.700;5.350;6.790;8.230;9.360;10.480;11.440;12.210;12.960;14.180;15.400;15.930;15.760;15.600;15.490;15.380;15.220;15.070;14.790;14.510;14.160;13.800;13.620;13.440;10.750;8.070;5.380;2.700;2.700
160;0.000;1.680;3.350;4.890;6.290;7.690;8.850;10.010;10.990;11.710;12.430;13.540;14.650;15.140;14.990;14.860;14.760;14.660;14.520;14.390;14.140;13.900;13.590;13.280;13.110;12.940;10.350;7.770;5.180;2.600;2.600
165;0.000;1.580;3.160;4.620;5.970;7.310;8.380;9.440;10.530;11.210;11.890;12.900;13.900;14.340;14.230;14.110;14.020;13.930;13.820;13.700;13.500;13.290;13.030;12.760;12.600;12.430;9.950;7.460;4.980;2.500;2.500
170;0.000;1.480;2.970;4.360;5.650;6.940;8.030;9.120;10.070;10.720;11.360;12.260;13.160;13.550;13.460;13.360;13.290;13.210;13.120;13.020;12.850;12.680;12.460;12.240;12.080;11.930;9.550;7.160;4.780;2.400;2.400
175;0.000;1.410;2.820;4.150;5.400;6.640;7.640;8.640;9.620;10.220;10.830;11.620;12.410;12.760;12.690;12.620;12.550;12.490;12.420;12.340;12.210;12.080;11.890;11.710;11.570;11.420;9.140;6.860;4.580;2.310;2.310
180;0.000;1.370;2.730;4.020;5.240;6.460;7.450;8.440;9.250;9.830;10.410;11.110;11.810;12.130;12.070;12.020;11.970;11.910;11.860;11.800;11.690;11.590;11.440;11.290;11.160;11.020;8.820;6.620;4.420;2.230;2.230
